1,-1,0,0,-5,-400,0,1,-199.92,0,0,0,0,0,0,0
2,0,199.96,0,-5,-199.96,0,1,-199.96,0,0,0,0,0,0,0
3,-2,-200,0,-6,-400,0,3,400,0,0,0,0,0,0,0
4,0,199.96,0,-4,199.96,0,2,0,0,0,0,0,0,0,0
5,-1,-200,0,-6,-200,0,2,200,0,0,0,0,0,0,0
6,-2,-200,0,-5,0,0,1,-400,0,0,0,0,0,0,0
7,-1,0,0,-4,400,0,2,200.04,0,0,0,0,0,0,0
8,0,199.96,0,-4,0,0,2,0,0,0,0,0,0,0,0
9,1,599.88,0,-4,199.92,0,1,0,0,0,0,0,0,0,0
10,-1,0,0,-5,0,0,2,-200.04,0,0,0,0,0,0,0
11,-3,-400,0,-5,0,0,1,0,0,0,0,0,0,0,0
12,-2,-399.92,0,-4,400,0,2,200,0,0,0,0,0,0,0
13,-2,-200,0,-5,0,0,2,-199.96,0,0,0,0,0,0,0
14,-2,-200,0,-4,200,0,2,0,0,0,0,0,0,0,0
15,-1,-200.04,0,-5,-200.04,0,1,0,0,0,0,0,0,0,0
16,-1,200,0,-4,0,0,2,200,0,0,0,0,0,0,0
17,-1,200.04,0,-4,200,0,3,200,0,0,0,0,0,0,0
18,-1,0,0,-4,0,0,2,-200,0,0,0,0,0,0,0
19,1,-600,0,61,600,0,-138,-1400,0,0,0,0,0,0,0
20,4,0,0,139,1200,0,-149,999.8,0,0,0,0,0,0,0
21,3,400,0,258,1000,0,-140,0,0,0,0,0,0,0,0
22,3,200.04,0,423,1600,0,-141,-400.08,0,0,0,0,0,0,0
23,2,0,0,583,1800,0,-141,-200,0,0,0,0,0,0,0
24,3,200,0,764,1800,0,-141,-200,0,0,0,0,0,0,0
25,3,-200,0,758,-1000.2,0,-140,0,0,0,0,0,0,0,0
26,4,-400,0,781,0,0,-141,199.96,0,0,0,0,0,0,0
27,5,-200,0,769,400,0,-141,399.92,0,0,0,0,0,0,0
28,5,200.04,0,768,0,0,-143,0,0,0,0,0,0,0,0
29,5,-200,0,768,-200,0,-142,200,0,0,0,0,0,0,0
30,5,199.96,0,767,200.06,0,-142,0,0,0,0,0,0,0,0
31,5,400.08,0,768,400.12,0,-142,0,0,0,0,0,0,0,0
32,5,400,0,768,0,0,-143,-200,0,0,0,0,0,0,0
33,4,-400,0,767,0,0,-143,-200,0,0,0,0,0,0,0
34,4,-200,0,768,199.96,0,-143,-199.96,0,0,0,0,0,0,0
35,5,200,0,768,200,0,-142,-200,0,0,0,0,0,0,0
36,2,-200,0,768,199.96,0,-143,0,0,0,0,0,0,0,0
37,5,0,0,767,0,0,-142,200.04,0,0,0,0,0,0,0
38,5,399.92,0,766,0,0,-142,200,0,0,0,0,0,0,0
39,4,0,0,767,0,0,-142,0,0,0,0,0,0,0,0
